TimeStamps,Elapsed Time,alpha,beta,delta,theta,gamma,eeg,attention,meditation,
2024-08-03 09:15:58.554,00:00:00.000,0.00882954856934696,0.04150435298750128,0.016750536885910446,0.00934054367737393,0.06548332197939007,14.431321;24.769678;23.982248;14.825255;-4.4779606;-24.070133;-25.053331;-5.1685176;17.774284;26.319096;18.707672;7.0519204;4.157603;7.723369;10.296336;12.98686;9.83138;-3.776161;-16.788454;-23.329498;-22.90775;-11.459447;4.1205964;16.177122;23.129463;16.049116;-3.946732;-22.108423;-30.018993;-25.040676;-7.579487;10.953288;14.292097;8.122591;9.483469;11.9100895;5.594534;-1.7770076;-4.5682526;-2.2212298;3.3070583;6.3692484;7.8063602;6.7708597;-6.1989226;-24.789034;-24.810638;-4.7291517;11.08598;11.725198,,,
2024-08-03 09:15:58.851,00:00:00.297,,,,,,7.0628543;5.5819316;10.318893;18.629396;16.79794;1.9689565;-12.404865;-17.59232;-14.095148;-5.929356;3.0463927;7.414374;6.259365;7.822062;14.295245;14.227354;-1.0215677;-21.763338;-30.2723;-20.090414;0.48912042;17.175137;20.125372;7.5183463;-12.044623;-22.206352;-16.06457;-2.6822078;6.9928;10.405427;9.393494;2.9559896;-5.174938;-11.248205;-16.91044;-18.48689;-12.464019;0.9834028;14.758126;18.44328;10.248762;-1.250597;-2.8867035;6.1212482;13.464731;12.418189;1.5024298;-16.581419;-20.457458;-1.639783,,,
2024-08-03 09:15:58.852,00:00:00.297,0.008480441797263665,0.042311606837852164,0.015856828268346224,0.009806658081961558,0.06593277555785317,,,,
2024-08-03 09:15:58.945,00:00:00.390,0.009246181323157401,0.04130299711764593,0.015921915242515086,0.00905413912917144,0.066786145269853,15.340251;18.837498;14.997016;7.4336095;-0.13615514;-5.0766664;-9.158135;-18.312168;-21.87574;-4.770199;14.617845;18.486248;13.285068;1.4653213;-12.269351;-12.816308;1.5433187;14.268704;14.613016;5.1038103;-6.1131864;-11.140083;-10.0978565;-7.962186;-6.0551796;-1.5882406;7.4348645;15.806267;10.19792;-8.044855;-13.894226;-0.039060287;9.74836;5.6720457;1.0430825;0.6703147;5.833574;18.033312;23.156096;10.473854;-12.828202;-27.54799;-19.09761;-1.3885164;8.315359;10.586559;7.6969514;3.1288664;4.3967633;10.387042,,,
2024-08-03 09:15:59.153,00:00:00.599,0.008957042934926211,0.04263040262375875,0.016059653194944297,0.00937163579872555,0.06708194287266088,7.440198;-6.7851243;-17.396658;-19.979605;-20.009747;-14.456;-3.0313506;8.156473;15.334535;11.495213;-3.791187;-14.524424;-11.448498;-4.615723;-4.3045745;-8.304581;-9.16819;-6.5561185;-6.1369753;-4.4626007;3.7871268;11.540513;14.202702;17.375591;21.488707;15.0401945;-4.131385;-19.800213;-21.51596;-13.007192;-4.7726603;-3.2370567;-1.8639703;4.366495;11.1685705;14.8244915;12.547666;3.0496745;-7.189894;-11.4669695;-12.215514;-12.410689;-9.9395485;-3.7832878;3.6320612;7.4902186;5.1246123;0.17786548;-1.1525126;2.4524274,,,
2024-08-03 09:15:59.455,00:00:00.900,,,,,,6.0701523;8.427846;10.737556;12.763168;20.832455;33.011196;30.748425;7.716984;-20.916622;-35.81128;-27.874544;-9.122113;1.966342;0.3936269;-6.791147;-6.743161;1.5189129;8.582851;13.761752;16.087627;9.291418;-4.7916584;-13.602663;-9.730169;-5.597049;-13.0893345;-19.79105;-12.14131;1.1684389;8.974723;13.994733;19.586784;22.237688;15.617383;-5.68822;-28.88975;-33.220585;-22.656693;-13.053728;-6.980906;0.12351557;6.2816834;7.898949;6.955875;6.06186;3.6731799;-1.6606011;-9.036564;-16.116098;-16.711498,,,
2024-08-03 09:15:59.456,00:00:00.902,,,,,,,6.943437099456787,,
2024-08-03 09:15:59.457,00:00:00.903,0.00933257987764321,0.04462226324998104,0.015781126156471485,0.009633662533088866,0.06758580483967663,,,9.896720886230469,
2024-08-03 09:15:59.542,00:00:00.988,,,,,,-10.231028;-4.5126395;-3.9865282;-5.132535;-2.5975456;0.35926026;-0.7375628;-0.8424741;2.3760164;8.318508;15.9358635;13.193665;-2.213306;-13.336326;-11.884654;-8.357371;-12.591509;-16.359253;-11.294186;-1.6513165;8.461014;14.439574;10.533899;-2.0172331;-15.091041;-16.72783;-5.001424;4.3841405;1.905579;-5.0509973;-6.467869;0.17276989;6.9627275;2.985191;-10.350899;-19.681673;-17.965118;-8.203798;3.2095733;5.642094;-3.576237;-7.1346946;3.2751827;8.267551;0.022799315;-5.211991;0.616951;8.820993;6.371129;-4.035383,,,
2024-08-03 09:15:59.543,00:00:00.988,0.009391197105021358,0.04328963187939202,0.016138297235653486,0.009946485591729294,0.06679117963861582,,,,
